name,hotness,"size in cm"
"Poblano verde",3,10.2
"Poblano Rojo",3,13.5
Pimento,1,9.8
"Anaheim Red",2.5,15.2
"Anaheim Green",2.5,15.2
Chilaca,3.5,21.7
"New Mexico Red",3.5,13.6
"New Mexico Green",3.5,15.4
"Peter Pepper",7.5,11
"De Agua (Red)",4.5,11.7
"De Agua (Green)",4.5,10.9
Chawa,3.5,10.4
"Dutch Red",6,9.9
"Thai Green",7.5,9.2
"Thai Red",7.5,8.7
Guero,6,7.5
"Red Jalapeno",5.5,6.9
"Green Jalapeno",5.5,6.8
Manzana,5.5,7
"Orange Habanero",10,5
"Green Habanero",10,4.7
"Hungarian Cherry",1,3.6
Rocotillo,9,3.1
"Scotcho Bonnet",9.5,3.6
"Red Fresno",6.5,4.8
"Green Serrano",7,3.2
"Red Serrano",7,4.1
"Ornamental Cayenne",6.5,3.6
Macho,10,2.2
Tepin,8,1.1
